"","frqX","frqY","model","h","r","s"
"960",0.189839572192513,0.233201581027668,"auto.and.parX","0.5","0.1","0"
"961",0.0593792172739541,0.111969111969112,"auto.and.parX","0.5","0.1","0"
"962",0.0435356200527705,0.0205761316872428,"auto.and.parX","0.5","0.1","0"
"963",0.157894736842105,0.178294573643411,"auto.and.parX","0.5","0.1","0"
"964",0.262879788639366,0.185185185185185,"auto.and.parX","0.5","0.1","0"
"965",0.0347593582887701,0.0396825396825397,"auto.and.parX","0.5","0.1","0"
"966",0.244063324538259,0.241803278688525,"auto.and.parX","0.5","0.1","0"
"967",0.0422721268163804,0.0164609053497942,"auto.and.parX","0.5","0.1","0"
"968",0.0951742627345844,0.161417322834646,"auto.and.parX","0.5","0.1","0"
"969",0.0734312416555407,0.0666666666666667,"auto.and.parX","0.5","0.1","0"
"970",0.202702702702703,0.223076923076923,"auto.and.parX","0.5","0.1","0"
"971",0.0350649350649351,0.0260869565217391,"auto.and.parX","0.5","0.1","0"
"972",0.0906666666666667,0.0595238095238095,"auto.and.parX","0.5","0.1","0"
"973",0.119325551232166,0.0745614035087719,"auto.and.parX","0.5","0.1","0"
"974",0.502018842530283,0.529182879377432,"auto.and.parX","0.5","0.1","0"
"975",0.0225763612217795,0.0161943319838057,"auto.and.parX","0.5","0.1","0"
"976",0.557029177718833,0.475609756097561,"auto.and.parX","0.5","0.1","0"
"977",0.0459459459459459,0.112403100775194,"auto.and.parX","0.5","0.1","0"
"978",0.0557029177718833,0.0693877551020408,"auto.and.parX","0.5","0.1","0"
"979",0.571812080536913,0.623529411764706,"auto.and.parX","0.5","0.1","0"
"980",0.134564643799472,0.136363636363636,"auto.and.parX","0.5","0.1","0"
"981",0.0106524633821571,0.004,"auto.and.parX","0.5","0.1","0"
"982",0.032,0.0398406374501992,"auto.and.parX","0.5","0.1","0"
"983",0.243101182654402,0.261603375527426,"auto.and.parX","0.5","0.1","0"
"984",0.472334682860999,0.453846153846154,"auto.and.parX","0.5","0.1","0"
"985",0.0132100396301189,0.016597510373444,"auto.and.parX","0.5","0.1","0"
"986",0.0901960784313725,0.0464135021097046,"auto.and.parX","0.5","0.1","0"
"987",0.536327608982827,0.522633744855967,"auto.and.parX","0.5","0.1","0"
"988",0.22237017310253,0.286290322580645,"auto.and.parX","0.5","0.1","0"
"989",0.0763052208835341,0.0717131474103586,"auto.and.parX","0.5","0.1","0"
"990",0.140562248995984,0.094488188976378,"auto.and.parX","0.5","0.1","0"
"991",0.00540540540540541,0.00772200772200772,"auto.and.parX","0.5","0.1","0"
"992",0.0265957446808511,0.00404858299595142,"auto.and.parX","0.5","0.1","0"
"993",0.0719041278295606,0.0725806451612903,"auto.and.parX","0.5","0.1","0"
"994",0.0395095367847411,0.0451127819548872,"auto.and.parX","0.5","0.1","0"
"995",0.0829015544041451,0.0440528634361234,"auto.and.parX","0.5","0.1","0"
"996",0.0554089709762533,0.065843621399177,"auto.and.parX","0.5","0.1","0"
"997",0.201324503311258,0.224489795918367,"auto.and.parX","0.5","0.1","0"
"998",0.123822341857335,0.136186770428016,"auto.and.parX","0.5","0.1","0"
"999",0.357237715803453,0.336032388663968,"auto.and.parX","0.5","0.1","0"
"1000",0.295302013422819,0.28740157480315,"auto.and.parX","0.5","0.1","0"
